City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Cayenne,GF,80.1,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
8,Hilo,US,82.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
11,Vila Velha,BR,85.96,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
16,Beyneu,KZ,80.49,clear sky,45.3167,55.2,NUR
22,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
30,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
31,Carutapera,BR,88.0,scattered clouds,-1.195,-46.02,Lidera
32,Aripuana,BR,92.88,broken clouds,-9.1667,-60.6333,
33,Korla,CN,81.64,overcast clouds,41.7597,86.1469,Gulisitan Hotel
34,Riberalta,BO,86.94,overcast clouds,-10.9833,-66.1,Hotel Colonial
36,Muros,ES,82.9,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
37,Kalmunai,LK,83.59,overcast clouds,7.4167,81.8167,VS Villa
41,Sur,OM,97.41,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
51,Veraval,IN,83.82,broken clouds,20.9,70.3667,Lords Inn Somnath
71,Butaritari,KI,82.72,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
77,Bani,DO,87.24,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
78,Dhidhdhoo,MV,83.32,overcast clouds,6.8833,73.1,Dhidhoo beach
82,Valdosta,US,82.31,clear sky,30.8327,-83.2785,Courtyard by Marriott Valdosta
83,Sao Felix Do Xingu,BR,92.08,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
85,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
88,Trairi,BR,87.42,scattered clouds,-3.2778,-39.2689,janelas do mar
104,Hun,LY,96.12,clear sky,29.1268,15.9477,Alrwasi Hotel
106,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
110,Hithadhoo,MV,84.09,overcast clouds,-0.6,73.0833,Scoop Guest House
111,Kozan,TR,83.3,clear sky,37.4552,35.8157,Ortaklar Kiz Ogrenci Yurdu
112,Jizan,SA,93.9,clear sky,17.3333,42.6667,شهدان. ابوالحجر
