City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ulladulla,AU,2021-05-31 16:14:14,-35.35,150.4667,47.08,70,28,5.39,scattered clouds
1,Opuwo,NA,2021-05-31 16:14:14,-18.0607,13.84,76.77,16,72,7.99,broken clouds
2,Severo-Yeniseyskiy,RU,2021-05-31 16:14:14,60.3725,93.0408,47.82,64,99,5.68,overcast clouds
3,Cayenne,GF,2021-05-31 16:11:50,4.9333,-52.3333,80.1,88,75,3.0,moderate rain
4,Constitucion,CL,2021-05-31 16:14:15,-35.3333,-72.4167,62.49,83,89,5.46,overcast clouds
5,Albany,US,2021-05-31 16:11:33,42.6001,-73.9662,55.45,82,100,7.0,overcast clouds
6,Adrar,MR,2021-05-31 16:14:16,20.5022,-10.0711,104.0,13,93,5.01,overcast clouds
7,Nouadhibou,MR,2021-05-31 16:12:27,20.931,-17.0347,66.7,86,18,24.92,few clouds
8,Hilo,US,2021-05-31 16:11:12,19.7297,-155.09,82.27,94,90,4.61,light rain
9,Ancud,CL,2021-05-31 16:11:52,-41.8697,-73.8203,60.42,97,100,16.02,light rain
10,Erenhot,CN,2021-05-31 16:14:16,43.6475,111.9767,49.44,46,3,4.92,clear sky
11,Vila Velha,BR,2021-05-31 16:12:07,-20.3297,-40.2925,85.96,78,40,4.0,scattered clouds
12,Carnarvon,AU,2021-05-31 16:11:17,-24.8667,113.6333,60.87,82,1,12.66,clear sky
13,Praia Da Vitoria,PT,2021-05-31 16:14:17,38.7333,-27.0667,68.76,94,75,15.99,broken clouds
14,Husavik,IS,2021-05-31 16:11:22,66.0449,-17.3389,54.66,44,49,15.61,scattered clouds
15,Inverness,GB,2021-05-31 16:14:18,57.4791,-4.224,71.8,53,0,5.01,clear sky
16,Beyneu,KZ,2021-05-31 16:14:18,45.3167,55.2,80.49,37,1,17.34,clear sky
17,Bambous Virieux,MU,2021-05-31 16:12:20,-20.3428,57.7575,73.22,72,1,10.45,clear sky
18,Zamardi,HU,2021-05-31 16:14:18,46.8849,17.9537,64.56,68,32,4.0,scattered clouds
19,Auki,SB,2021-05-31 16:14:19,-8.7676,160.7034,76.39,90,100,5.77,overcast clouds
20,Baruun-Urt,MN,2021-05-31 16:14:19,46.6806,113.2792,42.87,61,97,6.22,overcast clouds
21,Dingle,PH,2021-05-31 16:11:55,10.9995,122.6711,77.43,91,100,0.78,overcast clouds
22,Pitimbu,BR,2021-05-31 16:14:20,-7.4706,-34.8086,82.99,76,40,13.13,scattered clouds
23,Saint-Philippe,RE,2021-05-31 16:11:25,-21.3585,55.7679,71.19,80,24,6.13,few clouds
24,Wausau,US,2021-05-31 16:11:18,44.9591,-89.6301,68.63,62,1,1.99,clear sky
25,Santa Maria,BR,2021-05-31 16:12:37,-29.6842,-53.8069,60.64,46,19,1.21,few clouds
26,Behbahan,IR,2021-05-31 16:14:20,30.5959,50.2417,102.16,7,0,14.76,clear sky
27,Port Lincoln,AU,2021-05-31 16:14:21,-34.7333,135.8667,59.5,42,100,9.95,overcast clouds
28,Tura,IN,2021-05-31 16:11:28,25.5198,90.2201,72.32,97,100,4.94,light rain
29,Puerto Ayora,EC,2021-05-31 16:11:14,-0.7393,-90.3518,75.54,85,83,7.0,broken clouds
30,Saint-Georges,GD,2021-05-31 16:14:21,12.0564,-61.7485,83.88,74,40,21.85,scattered clouds
31,Carutapera,BR,2021-05-31 16:14:22,-1.195,-46.02,88.0,57,27,7.27,scattered clouds
32,Aripuana,BR,2021-05-31 16:11:33,-9.1667,-60.6333,92.88,36,67,3.2,broken clouds
33,Korla,CN,2021-05-31 16:14:22,41.7597,86.1469,81.64,17,99,4.9,overcast clouds
34,Riberalta,BO,2021-05-31 16:14:23,-10.9833,-66.1,86.94,60,100,2.55,overcast clouds
35,Fukue,JP,2021-05-31 16:11:37,32.6881,128.8419,69.37,76,100,5.32,overcast clouds
36,Muros,ES,2021-05-31 16:14:23,42.7762,-9.0603,82.9,65,33,4.14,scattered clouds
37,Kalmunai,LK,2021-05-31 16:12:49,7.4167,81.8167,83.59,75,100,2.77,overcast clouds
38,New Norfolk,AU,2021-05-31 16:11:34,-42.7826,147.0587,46.71,82,100,1.01,overcast clouds
39,Ribeira Grande,PT,2021-05-31 16:11:33,38.5167,-28.7,68.4,73,75,4.61,broken clouds
40,Aksay,RU,2021-05-31 16:14:24,47.26,39.87,74.25,43,86,5.99,overcast clouds
41,Sur,OM,2021-05-31 16:11:59,22.5667,59.5289,97.41,28,88,9.8,overcast clouds
42,Hounde,BF,2021-05-31 16:14:24,11.5,-3.5167,101.5,23,66,2.06,broken clouds
43,East London,ZA,2021-05-31 16:11:57,-33.0153,27.9116,66.63,53,100,12.06,overcast clouds
44,Rocha,UY,2021-05-31 16:11:28,-34.4833,-54.3333,61.52,52,11,19.66,few clouds
45,Rikitea,PF,2021-05-31 16:06:17,-23.1203,-134.9692,73.99,66,0,13.35,clear sky
46,Whitehorse,CA,2021-05-31 16:11:13,60.7161,-135.0538,50.02,66,100,15.99,overcast clouds
47,Sobolevo,RU,2021-05-31 16:14:25,54.4299,31.8996,54.54,61,99,2.08,overcast clouds
48,Port Alfred,ZA,2021-05-31 16:11:19,-33.5906,26.891,61.9,71,100,10.02,overcast clouds
49,Yellowknife,CA,2021-05-31 16:10:09,62.456,-114.3525,49.32,54,99,5.01,overcast clouds
50,Sakaiminato,JP,2021-05-31 16:14:26,35.55,133.2333,61.38,82,19,6.53,few clouds
51,Veraval,IN,2021-05-31 16:14:26,20.9,70.3667,83.82,77,60,13.8,broken clouds
52,Faanui,PF,2021-05-31 16:12:35,-16.4833,-151.75,78.57,66,100,15.37,overcast clouds
53,Luanda,AO,2021-05-31 16:11:33,-8.8368,13.2343,78.8,78,0,9.22,clear sky
