City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saskylakh,RU,2021-05-31 02:19:20,71.9167,114.0833,44.96,66,1,5.91
1,Jamestown,US,2021-05-31 02:19:20,42.097,-79.2353,48.18,90,5,1.95
2,Bluff,NZ,2021-05-31 02:19:21,-46.6,168.3333,49.8,88,100,20.47
3,Broome,US,2021-05-31 02:19:21,42.2506,-75.833,47.91,96,90,1.01
4,Srednekolymsk,RU,2021-05-31 02:19:21,67.45,153.6833,66.13,25,96,11.45
5,Tuktoyaktuk,CA,2021-05-31 02:19:22,69.4541,-133.0374,44.6,53,20,8.05
6,Kruisfontein,ZA,2021-05-31 02:19:22,-34.0033,24.7314,49.42,79,79,6.04
7,Nyangao,TZ,2021-05-31 02:19:23,-10.3333,39.2833,69.98,83,92,1.32
8,Albany,US,2021-05-31 02:17:27,42.6001,-73.9662,48.38,94,100,3.38
9,Nikolskoye,RU,2021-05-31 02:19:23,59.7035,30.7861,39.78,69,87,2.84
10,Provideniya,RU,2021-05-31 02:19:23,64.3833,-173.3,50.11,46,0,20.13
11,Saint George,US,2021-05-31 02:18:28,37.1041,-113.5841,91.87,12,1,1.99
12,Kodiak,US,2021-05-31 02:19:12,57.79,-152.4072,47.71,81,90,12.66
13,Watford,GB,2021-05-31 02:19:19,51.6553,-0.396,50.68,93,0,5.53
14,Ushuaia,AR,2021-05-31 02:19:24,-54.8,-68.3,28.06,100,75,5.75
15,Dodola,ET,2021-05-31 02:19:25,6.9833,39.1833,49.1,60,10,3.27
16,Northam,GB,2021-05-31 02:17:35,51.0333,-4.2167,54.09,88,65,5.93
17,San Isidro,PE,2021-05-31 02:19:25,-12.1167,-77.05,64.26,90,90,10.11
18,Yellowknife,CA,2021-05-31 02:19:25,62.456,-114.3525,53.29,53,75,6.91
19,Nabire,ID,2021-05-31 02:19:26,-3.3667,135.4833,84.81,72,38,3.49
20,Nouadhibou,MR,2021-05-31 02:19:26,20.931,-17.0347,67.98,83,0,18.41
21,Carnarvon,AU,2021-05-31 02:19:26,-24.8667,113.6333,66.27,68,61,9.22
22,Les Cayes,HT,2021-05-31 02:19:27,18.2,-73.75,77.56,83,100,5.57
23,Biak,ID,2021-05-31 02:19:27,-0.9131,122.8766,82.0,72,100,5.14
24,Loa Janan,ID,2021-05-31 02:19:27,-0.583,117.095,85.51,71,100,4.61
25,Nador,MA,2021-05-31 02:19:28,35.174,-2.9287,68.07,94,90,6.6
26,Port Alfred,ZA,2021-05-31 02:19:28,-33.5906,26.891,55.99,69,100,13.96
27,Saint-Philippe,RE,2021-05-31 02:19:29,-21.3585,55.7679,69.39,82,2,6.02
28,San Luis,AR,2021-05-31 02:19:29,-33.295,-66.3356,49.93,55,92,6.26
29,Vestmanna,FO,2021-05-31 02:19:29,62.1564,-7.1664,49.12,100,75,15.75
30,Butaritari,KI,2021-05-31 02:19:30,3.0707,172.7902,82.96,78,24,13.04
31,Thompson,CA,2021-05-31 02:19:30,55.7435,-97.8558,55.56,54,40,5.75
32,Deutschlandsberg,AT,2021-05-31 02:19:30,46.8153,15.2222,44.85,97,2,4.27
33,Hilo,US,2021-05-31 02:19:31,19.7297,-155.09,86.29,83,90,11.5
34,Punta Arenas,CL,2021-05-31 02:14:36,-53.15,-70.9167,30.31,80,40,7.58
35,Troitskoye,RU,2021-05-31 02:19:31,52.9821,84.6757,63.09,55,32,4.56
36,Arrifes,PT,2021-05-31 02:19:32,37.7667,-25.7,59.25,82,20,5.75
37,Marabba,SD,2021-05-31 02:19:32,12.35,32.1833,90.52,32,5,5.91
38,Port Augusta,AU,2021-05-31 02:19:32,-32.5,137.7667,60.94,20,99,10.67
39,Qianan,CN,2021-05-31 02:19:33,44.9932,124.0581,76.03,29,34,12.62
40,Rikitea,PF,2021-05-31 02:19:33,-23.1203,-134.9692,75.15,70,64,12.01
41,El Alto,PE,2021-05-31 02:19:33,-4.2714,-81.2147,67.71,85,58,13.91
42,Cape Town,ZA,2021-05-31 02:16:01,-33.9258,18.4232,56.08,91,75,8.39
43,Lofthus,NO,2021-05-31 02:19:34,59.9468,10.8018,56.5,52,55,0.34
44,Husavik,IS,2021-05-31 02:19:34,66.0449,-17.3389,46.31,74,66,6.38
45,Vaini,TO,2021-05-31 02:19:35,-21.2,-175.2,75.36,83,75,3.44
46,Piacabucu,BR,2021-05-31 02:19:35,-10.4056,-36.4344,74.61,88,15,4.81
47,Nan,TH,2021-05-31 02:19:35,18.8333,100.6667,86.02,70,20,2.1
48,San Matias,BO,2021-05-31 02:19:36,-16.3667,-58.4,79.23,51,100,5.66
49,Severo-Kurilsk,RU,2021-05-31 02:19:36,50.6789,156.125,39.06,97,100,23.4
50,Muroto,JP,2021-05-31 02:19:36,33.2833,134.15,73.44,62,0,9.86
51,Turukhansk,RU,2021-05-31 02:17:45,65.8167,87.9833,46.54,90,100,24.74
52,Verkhnyaya Inta,RU,2021-05-31 02:19:37,65.9811,60.3094,36.75,67,97,11.36
53,Meulaboh,ID,2021-05-31 02:19:37,4.1363,96.1285,80.13,78,100,3.24
54,Carutapera,BR,2021-05-31 02:19:37,-1.195,-46.02,76.1,92,6,5.03
55,Hit,IQ,2021-05-31 02:17:07,33.6416,42.8251,82.4,19,88,7.87
56,Isangel,VU,2021-05-31 02:19:38,-19.55,169.2667,77.11,69,90,6.6
57,Vaitape,PF,2021-05-31 02:19:38,-16.5167,-151.75,79.65,71,100,15.68
58,Fort Nelson,CA,2021-05-31 02:19:39,58.8053,-122.7002,69.39,30,75,3.44
59,Odweyne,SO,2021-05-31 02:19:39,9.4092,45.064,71.98,58,30,7.29
60,Homer,US,2021-05-31 02:19:39,59.6425,-151.5483,55.78,60,90,8.05
